OrderNum,OrderDate,OrderType,Customer ID,Product ID,Quantity
1105195,01-01-2020,Retail,2206,MW272,2
1105196,01-01-2020,Retail,2613,MW262,3
1105197,01-01-2020,Retail,1114,SP607,1
1105198,01-01-2020,Retail,3879,SP202,3
1105199,01-01-2020,Retail,4126,SP202,2
1105200,01-01-2020,Retail,3629,SP203,1
1105201,01-01-2020,Retail,1245,FT357,1
1105202,01-01-2020,Retail,1430,FT280,1
1105203,01-01-2020,Retail,1193,MW202,1
1105204,01-01-2020,Retail,3927,MW222,3
1105205,01-01-2020,Retail,3665,SP126,1
1105206,01-01-2020,Retail,3084,FT609,1
1105207,01-01-2020,Retail,3617,MW122,1
1105208,02-01-2020,Retail,3178,SP202,353
1105209,02-01-2020,Retail,1486,MW122,6
1105210,02-01-2020,Retail,2386,SP126,2
1105211,02-01-2020,Retail,1539,SP120,2
1105212,02-01-2020,Retail,1212,SP304,1
1105213,02-01-2020,Retail,2379,FT871,1
1105214,02-01-2020,Retail,2587,FT139,1
1105215,02-01-2020,Retail,3661,FT853,1
1105216,02-01-2020,Retail,3042,MW122,2
1105217,02-01-2020,Retail,2413,SP305,1
1105218,02-01-2020,Wholesale,1161,MW252,84
1105219,03-01-2020,Retail,4071,MW262,282
1105220,03-01-2020,Retail,1116,SP202,2
1105221,03-01-2020,Retail,2349,FT682,2
1105222,03-01-2020,Retail,1212,MW132,2
1105223,03-01-2020,Retail,3724,SP125,1
1105224,03-01-2020,Retail,2415,SP303,2
1105225,03-01-2020,Retail,1542,FT895,1
1105226,03-01-2020,Retail,3906,MW252,1
1105227,03-01-2020,Retail,1689,MW232,1
1105228,03-01-2020,Retail,3333,MW232,4
1105229,03-01-2020,Retail,3232,MW262,3
1105230,03-01-2020,Retail,3063,SP120,1
1105231,03-01-2020,Retail,1878,SP304,2
1105232,04-01-2020,Retail,2278,MW122,2
1105233,04-01-2020,Retail,2930,SP306,1
1105234,04-01-2020,Retail,1565,SP126,1
1105235,04-01-2020,Retail,2668,SP126,2
1105236,04-01-2020,Retail,2159,SP123,2
1105237,04-01-2020,Wholesale,1900,MW202,273
1105238,04-01-2020,Wholesale,2971,MW242,148
1105239,04-01-2020,Retail,1632,SP203,2
1105240,04-01-2020,Retail,1283,SP203,1
1105241,04-01-2020,Retail,3687,SP603,1
1105242,05-01-2020,Wholesale,1850,MW202,181
1105243,05-01-2020,Retail,2630,FT181,1
1105244,05-01-2020,Retail,2598,FT357,1
1105245,05-01-2020,Retail,3626,MW182,2
1105246,05-01-2020,Retail,3371,SP306,1
1105247,05-01-2020,Retail,2648,SP304,2
1105248,05-01-2020,Retail,3992,FT895,1
1105249,05-01-2020,Retail,3047,MW102,1
1105250,05-01-2020,Retail,2638,SP306,1
1105251,05-01-2020,Retail,3984,MW222,2
1105252,05-01-2020,Retail,1166,FT172,1
1105253,05-01-2020,Retail,1323,FT525,1
1105254,05-01-2020,Retail,2711,MW222,1
1105255,05-01-2020,Retail,3865,MW122,2
1105256,06-01-2020,Retail,3388,FT609,156
1105257,06-01-2020,Retail,3537,MW202,4
1105258,06-01-2020,Retail,3339,SP609,1
1105259,06-01-2020,Retail,1183,SP602,1
1105260,06-01-2020,Retail,1635,FT485,1
1105261,06-01-2020,Retail,4088,MW152,2
1105262,06-01-2020,Retail,3994,SP303,1
1105263,06-01-2020,Retail,3304,SP607,1
1105264,06-01-2020,Wholesale,1947,FT139,223
1105265,07-01-2020,Retail,2903,FT434,300
1105266,07-01-2020,Retail,1239,SP305,2
1105267,07-01-2020,Retail,3652,FT644,1
1105268,07-01-2020,Retail,2724,MW162,2
1105269,07-01-2020,Retail,2178,SP603,1
1105270,07-01-2020,Retail,3358,SP125,2
1105271,07-01-2020,Retail,2327,SP204,2
1105272,07-01-2020,Retail,1614,FT350,1
1105273,07-01-2020,Retail,1129,MW112,1
1105274,07-01-2020,Retail,1195,FT434,1
1105275,07-01-2020,Wholesale,1650,MW282,276
1105276,08-01-2020,Wholesale,3713,MW152,167
1105277,08-01-2020,Retail,2253,FT344,2
1105278,08-01-2020,Retail,1268,MW262,3
1105279,08-01-2020,Retail,2167,SP202,3
1105280,08-01-2020,Retail,1826,SP607,1
1105281,08-01-2020,Retail,2264,FT280,1
1105282,08-01-2020,Retail,3519,MW182,3
1105283,08-01-2020,Retail,3926,SP123,4
1105284,08-01-2020,Retail,1521,MW152,2
1105285,08-01-2020,Retail,1582,MW222,6
1105286,09-01-2020,Wholesale,1161,FT976,95
1105287,09-01-2020,Retail,4003,SP126,1
1105288,09-01-2020,Retail,2993,FT530,1
1105289,09-01-2020,Retail,1523,MW132,2
1105290,09-01-2020,Retail,3881,SP201,1
1105291,09-01-2020,Retail,4080,SP125,2
1105292,09-01-2020,Retail,3325,FT895,2
1105293,09-01-2020,Retail,2194,MW122,2
1105294,10-01-2020,Wholesale,2925,FT525,77
1105295,10-01-2020,Retail,2523,MW232,2
1105296,10-01-2020,Retail,2901,SP125,1
1105297,10-01-2020,Retail,2880,SP602,1
1105298,10-01-2020,Retail,3417,SP305,2
1105299,10-01-2020,Retail,2652,SP602,2
1105300,10-01-2020,Retail,1438,FT682,2
1105301,11-01-2020,Retail,4093,FT727,1
1105302,11-01-2020,Retail,1315,MW202,3
1105303,11-01-2020,Retail,3384,SP609,2
1105304,11-01-2020,Retail,3384,SP202,1
1105305,11-01-2020,Retail,2915,FT870,2
1105306,12-01-2020,Retail,1794,MW262,1
1105307,12-01-2020,Retail,1315,MW132,2
1105308,12-01-2020,Retail,1861,SP609,1
1105309,12-01-2020,Retail,2583,SP609,1
1105310,13-01-2020,Retail,1815,SP126,355
1105311,13-01-2020,Wholesale,1446,MW132,274
1105312,13-01-2020,Retail,3248,SP126,2
1105313,13-01-2020,Retail,1537,SP607,2
1105314,13-01-2020,Retail,2033,FT181,1
